# Time-averaged data for fix Fdensity
# TimeStep v_qTemp v_rho v_qmass v_Volume
4290 4986.15 2.6027 91386.9 58326.1
4300 4967.6 2.59258 91386.9 58553.9
4310 4949.11 2.58251 91386.9 58782.2
4320 4930.74 2.57249 91386.9 59011
4330 4912.76 2.56254 91386.9 59240.3
4340 4896.07 2.55263 91386.9 59470.1
4350 4880.94 2.54279 91386.9 59700.4
4360 4867.7 2.53301 91386.9 59931
4370 4857.27 2.52328 91386.9 60162
4380 4850.84 2.51361 91386.9 60393.4
4390 4848.34 2.504 91386.9 60625.3
4400 4849.5 2.49444 91386.9 60857.6
4410 4855.11 2.48493 91386.9 61090.4
4420 4865.7 2.47547 91386.9 61323.8
4430 4880.22 2.46606 91386.9 61557.8
4440 4898.91 2.45669 91386.9 61792.6
4450 4921.04 2.44736 91386.9 62028.2
4460 4945.33 2.43807 91386.9 62264.7
4470 4970.22 2.4288 91386.9 62502.3
4480 4994.76 2.41955 91386.9 62741.2
4490 5018.6 2.41033 91386.9 62981.2
4500 5041.08 2.40112 91386.9 63222.7
4510 5061.7 2.39194 91386.9 63465.5
4520 5079.32 2.38277 91386.9 63709.7
4530 5092.85 2.37362 91386.9 63955.3
4540 5103.34 2.36448 91386.9 64202.4
4550 5111.1 2.35536 91386.9 64450.9
4560 5115.41 2.34627 91386.9 64700.9
4570 5115.74 2.33718 91386.9 64952.3
4580 5113.19 2.32812 91386.9 65205.1
4590 5108.79 2.31908 91386.9 65459.2
4600 5102.21 2.31007 91386.9 65714.7
4610 5093.29 2.30108 91386.9 65971.4
4620 5082.28 2.29212 91386.9 66229.2
4630 5069.69 2.28319 91386.9 66488.2
4640 5056.15 2.2743 91386.9 66748.3
4650 5041.21 2.26544 91386.9 67009.3
4660 5024.99 2.25661 91386.9 67271.3
4670 5008.15 2.24783 91386.9 67534.2
4680 4990.88 2.23909 91386.9 67797.9
4690 4973.4 2.23039 91386.9 68062.4
4700 4956.55 2.22173 91386.9 68327.6
4710 4940.54 2.21312 91386.9 68593.4
4720 4925.26 2.20456 91386.9 68859.8
4730 4911.65 2.19604 91386.9 69126.8
4740 4900.23 2.18758 91386.9 69394.4
